"Reino","Filo","Classe","Ordem","Familia","Genero","Especie","Subespecie","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Adelpha","Adelpha atlantica","","","Willmott, 2003","Borboleta","Invertebrados Terrestres","04/2018","Em Perigo","","B1ab(iii)","Adelpha atlantica é conhecida de apenas três localidades na Baixada Fluminense e Serra dos Órgãos (Rio de Janeiro), em fragmentos florestais, sendo dois deles preservados e um sujeito à destruição pela expansão urbana. Possui Extensão de Ocorrência (EOO) menor que 5.000 km2 (B1), três localizações (a) e declínio continuado na qualidade do habitat (b). Por isso, A. atlantica foi categorizada como Em Perigo (EN) pelo critério B1ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ Sub-bacia Paraíba do Sul","APA Petrópolis","","","","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 9 - Poluição|9.2 - Industrial|9.2.4 - Tipo desconhecido","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Insetos Polinizadores","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","25",""
"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias superciliosus","","Alopias superciliosus","Lowe, 1841","tubarão-rabudo, tubarão-raposa, tubarão-raposa-olhudo","Tubarões e Raias","11/2017","Em Perigo","","A4d","Alopias superciliosus é um tubarão de distribuição circunglobal e altamente migratório, que ocupa regiões oceânicas e costeiras em águas tropicais e temperadas. Em avaliação ecológica de risco realizada em 2008, pela Comissão Internacional para Conservação dos Atuns do Atlântico (ICCAT), foi classificado como a espécie de tubarão mais vulnerável à pesca oceânica. Como consequência, em 2009 o Comitê Permanente de Pesquisa e Estatística da ICCAT (SCRS) recomendou a proibição da retenção e do desembarque da espécie em todo o oceano Atlântico. No Atlântico Sul, é observado um declínio populacional e sua frequência é cada vez menor nas pescarias. No Brasil, a espécie era frequentemente desembarcada pela frota de espinhel de superfície entre as décadas de 1990 e 2000. Entretanto, a partir desse período registro dessa espécie tornou-se raro atribuído a diminuição de sua população. Os poucos dados quantitativos dependentes do contexto (inconstância na forma de reportar os dados, mudanças nos petrechos da frota e descartes) que existem não permitem uma avaliação precisa de tendência populacional. Entretanto suspeita-se um declínio populacional maior que 50% em uma janela temporal que inclui o período de três gerações (47 anos) desde o final da década de 1970, incluindo o futuro. Por isso, A. superciliosus foi categorizada como Em Perigo (EN), pelo critério A4d.","Não","Sim","Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe","|Nordeste|Norte|Sudeste|Sul|","Sistema Costeiro-Marinho","","APA do Arquipélago de Trindade e Martim Vaz, MONA do Arquipélago de Trindade e Martim Vaz e Monte Columbia, PARNA Marinho de Fernando de Noronha","","","Sim","Declinando","5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.6 - Captura indireta - larga escala|5.4.6.6 - Arrasto 5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.6 - Captura indireta - larga escala|5.4.6.7 - Emalhe 5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.6 - Captura indireta - larga escala|5.4.6.8 - Espinhel","1 - Alimentação humana|1.7 - Pesca artesanal 1 - Alimentação humana|1.8 - Pesca industrial 4 - Caça/pesca esportiva","Legislação, Outra, Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação dos Elasmobrânquios Ameaçados de Extinção","CITES - Anexo II, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","","50 , 500"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus","","Alopias vulpinus","(Bonnaterre, 1788)","tubarão-rabudo, tubarão-raposa, tubarão-saltador","Tubarões e Raias","11/2017","Criticamente em Perigo","Não","A4bd","A distribuição geográfica de Alopias vulpinus é ampla, ocorrendo em todos os oceanos. A espécie nunca foi considerada abundante na costa brasileira e por este motivo sua biologia é pouco conhecida. É capturada como by-catch em diversas artes de pesca incluindo espinhéis, redes de emalhar e redes de arrasto. Embora a captura da espécie seja incidental na pesca dirigida a outras espécies de peixes pelágicos, quando capturada é aproveitada para o consumo humano. Assumindo uma única população para o Atlântico Sul, os resultados de estudo conduzido em uma área significativa da distribuição da espécie no Brasil que indicaram redução nas taxas de captura de aproximadamente 97%, bem como a perspectiva de continuidade de ameaças a espécie, infere-se um declínio populacional maior que 80% em uma janela de 45 anos (equivalente a três gerações) a partir de 2002. Assim, a espécie foi categorizada como Criticamente em Perigo (CR) pelos critérios A4bd.","Não","Sim","Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe","|Nordeste|Norte|Sudeste|Sul|","Sistema Costeiro-Marinho","","APA Baleia Franca, PARNA Marinho dos Abrolhos","APA MARINHA DO LITORAL CENTRO","","Sim","Declinando","5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.2 - Captura intencional - larga escala|5.4.2.6 - Arrasto 5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.2 - Captura intencional - larga escala|5.4.2.7 - Emalhe 5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos|5.4.2 - Captura intencional - larga escala|5.4.2.8 - Espinhel","13 - Outros bens de consumo 1 - Alimentação humana|1.8 - Pesca industrial 1 - Alimentação humana|1.8 - Pesca industrial|1.8.6 - Arrasto 1 - Alimentação humana|1.8 - Pesca industrial|1.8.7 - Emalhe 1 - Alimentação humana|1.8 - Pesca industrial|1.8.8 - Espinhel 4 - Caça/pesca esportiva","Criação de áreas protegidas, Legislação e política, Plano de Ação Nacional (PAN), Proteção de locais/áreas","Plano de Ação Nacional para a Conservação dos Elasmobrânquios Ameaçados de Extinção","Comissão Internacional para a Conservação do Atum do Atlântico - ICCAT, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022, CITES - Anexo II","","350"
"Animalia","Chordata","Aves","Galliformes","Cracidae","Aburria","Aburria cujubi","","Aburria cujubi","(Pelzeln, 1858)","cujubi","Aves","09/2017","Vulnerável","","A2d","Aburria cujubi ocorre na Amazônia brasileira, a sul do rio Amazonas, na Bolívia e, registros históricos revelam que possivelmente, no Paraguai. Ocorre ainda em áreas do Cerrado fortemente impactada na área de contato ao sul da Amazônia. Os registros desta espécie ao longo da sua área de distribuição vêm declinando, sendo necessário monitoramento populacional. Embora possua uma distribuição relativamente ampla, é uma espécie muito procurada por caçadores, sofrendo também com a destruição do seu habitat, uma vez que é sensível a alterações ambientais. As perdas populacionais em três gerações passadas, baseadas em níveis reais ou potenciais de exploração, podem ser consideradas maiores que 30%. Por estas razões, A. cujubi foi categorizada como Vulnerável (VU) A2d.","Não","Sim","Amazonas, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Pará, Rondônia, Tocantins","|Centro-Oeste|Nordeste|Norte|","Amazônia, Cerrado, Pantanal","Sub-bacia Araguaia Sub-bacia Foz Amazonas Sub-bacia Gurupi Sub-bacia Madeira Sub-bacia Mearim Sub-bacia Paraguai 02 Sub-bacia Paraguai 03 Sub-bacia Paraná RH1 Sub-bacia Paru Sub-bacia Tapajós Sub-bacia Tocantins Alto Sub-bacia Tocantins Baixo Sub-bacia Trombetas Sub-bacia Xingu","ESEC da Serra das Araras, ESEC da Terra do Meio, ESEC de Taiamã, FLONA Amaná, FLONA Carajás, FLONA Caxiuanã, FLONA do Tapajós, FLONA Itaituba II, FLONA Jamanxim, FLONA Jamari, FLONA Jatuarana, FLONA Trairão, PARNA Amazônia, PARNA Campos Amazônicos, PARNA da Chapada dos Guimarães, PARNA do Jamanxim, PARNA do Pantanal Mato-grossense, PARNA Juruena, REBIO do Gurupi, REBIO do Jaru, REBIO Nascentes da Serra do Cachimbo, RESEX Rio Iriri, RESEX Riozinho do Anfrísio","ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES, ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO","RPPN Fazenda Estância Dorochê, RPPN Jubran, RPPN Lote Cristalino, RPPN Parque Natural Leonildo Ferreira 1","Desconhecido","Declinando","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 4 - Transportes e serviços de transmissão|4.1 - Estradas e ferrovias 4 - Transportes e serviços de transmissão|4.7 - Linhas de força/transmissão 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.1 - Uso de subsistência/escambo local 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida","","Conservação ex-situ, Criação de áreas protegidas, Plano de Ação Nacional (PAN), Reintrodução","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Aratinga","Aratinga solstitialis","","Aratinga solstitialis","(Linnaeus, 1766)","jandaia-amarela","Aves","08/2018","Em Perigo","","A2cd","Aratinga solstitialis é uma espécie endêmica do Escudo das Guianas no norte da América do Sul, ocorrendo exclusivamente no extremo norte do Brasil e oeste da Guiana. Com base nos registros recentes da espécie, o tamanho populacional global é estimado em menos de 2.500 indivíduos maduros. Há alterações de habitat em sua distribuição; a área de ocupação no Brasil foi estimada em menos de 4.000 km². Foi excessivamente capturada nas últimas décadas e desapareceu da maioria das localidades de ocorrência, de modo que uma redução populacional é suspeitada em mais de 50% nos últimos 21 anos (três gerações). Considerando que as causas que levaram ao declínio populacional não cessaram, A. solstitialis foi categorizada como Em Perigo (EN), segundo os critérios A2cd.","Não","Sim","Roraima","|Norte|","Amazônia","Sub-bacia Negro","ESEC de Maracá","","","Não","Declinando","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo) 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios","3 - Animais de estimação/ornamentais","Controle e fiscalização, Educação e comunicação, Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia, Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia - 2º ciclo, Plano de Ação Nacional para a Conservação das Aves da Caatinga - 2º ciclo","CITES - Anexo II, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Alectrurus","Alectrurus tricolor","","Alectrurus tricolor","(Vieillot, 1816)","galito","Aves","10/2018","Vulnerável","","C2a(i)","Alectrurus tricolor distribui-se na Bolívia, Paraguai e Brasil, ocorrendo em campos naturais pouco alterados ou inalterados do Cerrado. Atualmente, a população brasileira está quase restrita a unidades de conservação. A população é inferida em menos de 10.000 indivíduos maduros, com três subpopulações representativas localizadas nos Parques Nacionais das Emas, da Serra da Canastra e da Chapada dos Veadeiros, entretanto não existe nenhuma unidade de conservação que ofereça proteção a uma das populações mais relevantes, que habita a região de Uberaba/MG. As subpopulações são inferidas em menos de 1.000 indivíduos maduros. A espécie está ameaçada pela perda de habitat devido à supressão dos campos naturais em função da expansão das atividades agrosilvopastoris e invasões de espécies exóticas (Pinus e gramíneas), havendo declínio populacional continuado. Por essas razões, A. tricolor foi categorizada Vulnerável (VU), pelo critério C2a(i).","Não","Sim","Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, São Paulo, Tocantins","|Centro-Oeste|Norte|Sudeste|Sul|","Cerrado, Mata Atlântica, Pantanal","Sub-bacia Grande Sub-bacia Paraguai 01 Sub-bacia Paraguai 02 Sub-bacia Paraíba do Sul Sub-bacia Paranaíba Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia Tietê Sub-bacia Tocantins Alto","APA Bacia do Rio Descoberto, APA Ilhas e Várzeas do Rio Paraná, APA Planalto Central, FLONA de Brasília, FLONA de Ipanema , PARNA da Chapada dos Veadeiros, PARNA das Emas, PARNA da Serra da Canastra, PARNA de Brasília, PARNA de Ilha Grande","APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí, APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS, ESTAÇÃO ECOLÓGICA DE ITIRAPINA, ESTAçãO ECOLóGICA DE SANTA BáRBARA, ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO","RPPN Cachoeira do Cerradão, RPPN Chakra Grisu, RPPN Fazenda América, RPPN Fazenda Campo Alegre, RPPN Fazenda Mata Funda, RPPN Fazenda São Miguel, RPPN Fazendinha, RPPN Nave da Esperança","Desconhecido","Declinando","1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição|9.3 - Agropecuária e florestal|9.3.3 - Herbicidas e pesticidas","","Criação de áreas protegidas, Expansão de áreas protegidas, Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia, Plano de Ação Nacional para a Conservação das Aves do Cerrado e Pantanal, Plano de Ação Nacional para a Conservação das Aves do Cerrado e Pantanal - 2º ciclo, Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos - 2º ciclo, Plano de Ação Nacional para a Conservação dos Passeriformes Ameaçados dos Campos Sulinos e Espinilho","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Aves","Passeriformes","Pipridae","Antilophia","Antilophia bokermanni","","Antilophia bokermanni","Coelho & Silva 1998","soldadinho-do-araripe","Aves","11/2016","Criticamente em Perigo","Não","A4b; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)","Antilophia bokermanni possui distribuição restrita à Chapada do Araripe, no Ceará, com área de ocupação (AOO) de 8,25km² e extensão de ocorrência (EOO) de 44,89km². Ocorre apenas em uma localização, sendo o uso indiscriminado das fontes de água e as consequentes modificações decorrentes desta atividade a ameaça mais importante à sobrevivência desta espécie. A área de potencial ocorrência histórica de Antilophia bokermanni já perdeu 77% de sua vegetação original e continua sofrendo degradação ambiental e diminuição na quantidade e qualidade dos recursos hídricos. Há declínio continuado de EOO (observado na perda de 8% de seu comprimento entre 2005 e 2014), de AOO (observado saldo negativo de pelo menos um sítio reprodutivo entre 2005 e 2014, restando outros 104) e da qualidade ambiental por perda de vazão d’água. Foi observado declínio do número de indivíduos maduros em taxa de 13% em dois anos, projetando-se uma perda populacional de 86% em três gerações (passado e futuro). Assim sendo, A. bokermanni foi categorizada como Criticamente em Perigo (CR) A4b; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v).","Sim","Sim","Ceará","|Nordeste|","Caatinga","Sub-bacia Jaguaribe","APA Chapada do Araripe, FLONA do Araripe-Apodi","","RESERVA PARTICULAR DO PATRIMONIO NATURAL RPPN OASIS ARARIPE, RPPN Arajara Park","Não","Declinando","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.2 - Agricultura em pequenas propriedades 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.1 - Captação de água de superfície - uso doméstico 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.2 - Captação de água de superfície - uso comercial 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.3 - Captação de água de superfície - uso na agricultura","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação do Soldadinho-do-Araripe, Plano de Ação Nacional para a Conservação do Soldadinho-do-araripe - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Anodorhynchus","Anodorhynchus leari","","Anodorhynchus leari","Bonaparte, 1856","arara-azul-de-lear","Aves","11/2016","Em Perigo","","D","Anodorhynchus leari é endêmica do nordeste da Bahia. Considera-se que existam, atualmente, até 244 indivíduos maduros da espécie. A única população viável está localizada em uma pequena área, sendo dependente de ações de conservação devido a ameaças como alteração e perda de habitat, conflitos com proprietários de plantações de milho e tráfico de animais silvestres. Assim sendo, A. leari foi categorizada como Em Perigo (EN), pelo critério D.","Sim","Sim","Bahia","|Nordeste|","Caatinga","Sub-bacia Itapecuru-Paraguaçu Sub-bacia Litoral SE Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio","APA do Boqueirao da Onça, ARIE Corobobó, ESEC Raso da Catarina, PARNA do Boqueirao da Onça","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA","","Não","Aumentando","5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.2 - Comercial - Nacional/Local 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.3 - Comercial - Internacional 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo)|5.1.1.6 - Retaliação/controle 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.3 - Efeitos indiretos - subsistência/pequena escala 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.4 - Efeitos indiretos - larga escala","3 - Animais de estimação/ornamentais","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Arara-Azul-de-Lear, Plano de Ação Nacional para a Conservação da Arara-Azul-de-Lear 2º ciclo, Plano de Ação Nacional para a Conservação das Aves da Caatinga - 2º ciclo","CITES - Anexo I, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Symphypleona","Arrhopalitidae","Arrhopalites","Acherontides eleonorae","","Acherontides eleonorae","Palacios-Vargas & Gnaspini-Netto, 1992","","Invertebrados Terrestres","05/2018","Vulnerável","","D2","Acherontides eleonorae é endêmica do Brasil, conhecida de algumas cavernas na região do Parque Estadual Turístico do Alto Ribeira, São Paulo. A espécie não é homogeneamente distribuída nas cavernas onde ocorre e está restrita a depósitos de guano de morcegos hematófagos. Desta forma, a área de ocupação é seguramente menor que 20km2. Algumas cavernas tem visitação, mas atualmente controlada e com plano de manejo, o que melhorou a condição ambiental nos últimos anos. No entanto, essa situação pode ser revertida em função de pressões para intensificar o uso turístico da região, o que representa uma ameaça concreta à espécie. Por isso, A. eleonorae foi categorizada como Vulnerável (VU) pelo critério D2.","Sim","Sim","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ SP","","APA SERRA DO MAR, PARQUE ESTADUAL INTERVALES, PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","","Não","Desconhecida","6 - Distúrbios humanos 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas","15 - Pesquisa","Manejo de locais/áreas, Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Cavernas do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla cavernicola","","Aegla cavernicola","Türkay, 1972","","Invertebrados de Água Doce","05/2018","Criticamente em Perigo","Não","B2ab(iii,v)","Aegla cavernicola é endêmica de um sistema de cavernas (Sistema Areias) na região do Parque Estadual Turístico do Alto Ribeira, São Paulo, possuindo reduzida área de ocupação (aproximadamente 0,02 km²), e que corresponde a uma única localização. Este sistema é caracterizado por ser ambiente singular, composto por um habitat subterrâneo frágil e de comunidade animal fortemente dependente de aporte de nutrientes de origem externa (meio epígeo). Além disso, observa-se ainda a degradação ambiental (assoreamento, desmatamento e poluição da água) no entorno das cavernas em consequência da ocupação humana e um acentuado declínio populacional em anos recentes. Por esses motivos, a espécie foi categorizada como Criticamente em Perigo de acordo com o critério B2ab(iii,v).","Sim","Sim","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ SP","","PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","","Não","Declinando","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.3 - Agropecuária e florestal|9.3.2 - Erosão do solo/sedimentação 9 - Poluição|9.4 - Lixo e resíduos sólidos|9.4.1 - Urbanos","15 - Pesquisa","Expansão de áreas protegidas, Manejo de locais/áreas, Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação das Cavernas do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
